Time,Tmean
2017-08-31 08:00:00,21.84166667
2017-08-31 09:00:00,24.26666667
2017-08-31 10:00:00,27.19166667
2017-08-31 11:00:00,28.69166667
2017-08-31 12:00:00,29.88333333
2017-08-31 13:00:00,30.775
2017-08-31 14:00:00,31.50833333
2017-08-31 15:00:00,31.825
2017-08-31 16:00:00,32.075
2017-08-31 17:00:00,31.69166667
2017-08-31 18:00:00,30.225
2017-08-31 19:00:00,27.22
2017-08-31 20:00:00,23.68333333
2017-08-31 21:00:00,21.88333333
2017-08-31 22:00:00,20.81666667
2017-08-31 23:00:00,19.675
2017-09-01 00:00:00,19.06666667
2017-09-01 01:00:00,18.81666667
2017-09-01 02:00:00,18.56666667
2017-09-01 03:00:00,17.83333333
2017-09-01 04:00:00,17.40833333
2017-09-01 05:00:00,17.13333333
2017-09-01 06:00:00,17.6
2017-09-01 07:00:00,20.1
2017-09-01 08:00:00,24.61666667
2017-09-01 09:00:00,27.4
2017-09-01 10:00:00,29.06666667
2017-09-01 11:00:00,29.675
2017-09-01 12:00:00,30.65
2017-09-01 13:00:00,31.44166667
2017-09-01 14:00:00,32.05
2017-09-01 15:00:00,32.325
2017-09-01 16:00:00,31.85454545
2017-09-01 17:00:00,30.01818182
2017-09-01 18:00:00,27.925
2017-09-01 19:00:00,26.45833333
2017-09-01 20:00:00,25.33333333
2017-09-01 21:00:00,23.8
2017-09-01 22:00:00,23.48333333
2017-09-01 23:00:00,23.18333333
2017-09-02 00:00:00,22.425
2017-09-02 01:00:00,22.29166667
2017-09-02 02:00:00,22.075
2017-09-02 03:00:00,21.675
2017-09-02 04:00:00,21.525
2017-09-02 05:00:00,21.5
2017-09-02 06:00:00,21.025
2017-09-02 07:00:00,20.94166667
2017-09-02 08:00:00,21.13333333
2017-09-02 09:00:00,21.70833333
2017-09-02 10:00:00,23.17272727
2017-09-02 11:00:00,24.48333333
2017-09-02 12:00:00,25.40833333
2017-09-02 13:00:00,27.14166667
2017-09-02 14:00:00,28.46666667
2017-09-02 15:00:00,29.00833333
2017-09-02 16:00:00,28.50833333
2017-09-02 17:00:00,25.75833333
2017-09-02 18:00:00,18.59166667
2017-09-02 19:00:00,18.23333333
2017-09-02 20:00:00,18.275
2017-09-02 21:00:00,18.05833333
2017-09-02 22:00:00,17.95
2017-09-02 23:00:00,17.88333333
2017-09-03 00:00:00,16.84166667
2017-09-03 01:00:00,16.03333333
2017-09-03 02:00:00,15.325
2017-09-03 03:00:00,15.14166667
2017-09-03 04:00:00,15.0
2017-09-03 05:00:00,14.9
2017-09-03 06:00:00,14.775
2017-09-03 07:00:00,14.75833333
2017-09-03 08:00:00,14.90833333
2017-09-03 09:00:00,15.20833333
2017-09-03 10:00:00,15.66666667
2017-09-03 11:00:00,16.425
2017-09-03 12:00:00,17.0
2017-09-03 13:00:00,18.11666667
2017-09-03 14:00:00,17.44166667
2017-09-03 15:00:00,17.58333333
2017-09-03 16:00:00,16.65833333
2017-09-03 17:00:00,16.4
2017-09-03 18:00:00,15.83333333
2017-09-03 19:00:00,15.15833333
2017-09-03 20:00:00,15.16666667
2017-09-03 21:00:00,14.98333333
2017-09-03 22:00:00,15.11666667
2017-09-03 23:00:00,15.15
2017-09-04 00:00:00,15.08333333
2017-09-04 01:00:00,15.0
2017-09-04 02:00:00,14.96666667
2017-09-04 03:00:00,14.74166667
2017-09-04 04:00:00,14.39166667
2017-09-04 05:00:00,14.125
2017-09-04 06:00:00,14.05833333
2017-09-04 07:00:00,14.23333333
2017-09-04 08:00:00,15.49166667
2017-09-04 09:00:00,17.325
2017-09-04 10:00:00,18.73333333
2017-09-04 11:00:00,19.725
2017-09-04 12:00:00,20.40833333
2017-09-04 13:00:00,21.08333333
2017-09-04 14:00:00,21.70833333
2017-09-04 15:00:00,21.175
2017-09-04 16:00:00,21.68333333
2017-09-04 17:00:00,20.83333333
2017-09-04 18:00:00,20.36666667
2017-09-04 19:00:00,18.67272727
2017-09-04 20:00:00,16.825
2017-09-04 21:00:00,15.225
2017-09-04 22:00:00,14.03333333
2017-09-04 23:00:00,13.31666667
2017-09-05 00:00:00,12.85833333
2017-09-05 01:00:00,12.20833333
2017-09-05 02:00:00,11.70833333
2017-09-05 03:00:00,11.275
2017-09-05 04:00:00,10.93333333
2017-09-05 05:00:00,10.875
2017-09-05 06:00:00,10.95
2017-09-05 07:00:00,12.975
2017-09-05 08:00:00,16.925
2017-09-05 09:00:00,20.00833333
2017-09-05 10:00:00,21.83333333
2017-09-05 11:00:00,22.39166667
2017-09-05 12:00:00,23.0
2017-09-05 13:00:00,23.57777778
2017-09-05 14:00:00,23.97
2017-09-05 15:00:00,23.98
2017-09-05 16:00:00,23.68333333
2017-09-05 17:00:00,23.15833333
2017-09-05 18:00:00,22.66666667
2017-09-05 19:00:00,21.1
2017-09-05 20:00:00,19.95714286
2017-09-05 21:00:00,19.20833333
2017-09-05 22:00:00,18.55833333
2017-09-05 23:00:00,18.25
2017-09-06 00:00:00,18.375
2017-09-06 01:00:00,18.29166667
2017-09-06 02:00:00,17.36666667
2017-09-06 03:00:00,16.975
2017-09-06 04:00:00,15.95
2017-09-06 05:00:00,16.6
2017-09-06 06:00:00,16.425
2017-09-06 07:00:00,17.29090909
2017-09-06 08:00:00,18.68333333
2017-09-06 09:00:00,20.96666667
2017-09-06 10:00:00,22.86666667
2017-09-06 11:00:00,24.05
2017-09-06 12:00:00,24.88333333
2017-09-06 13:00:00,25.34166667
2017-09-06 14:00:00,25.80833333
2017-09-06 15:00:00,26.24166667
2017-09-06 16:00:00,26.1
2017-09-06 17:00:00,25.51666667
2017-09-06 18:00:00,24.6
2017-09-06 19:00:00,22.86666667
2017-09-06 20:00:00,21.075
2017-09-06 21:00:00,19.60833333
2017-09-06 22:00:00,18.675
2017-09-06 23:00:00,17.975
2017-09-07 00:00:00,17.95
2017-09-07 01:00:00,17.21666667
2017-09-07 02:00:00,17.45
2017-09-07 03:00:00,17.64166667
2017-09-07 04:00:00,17.5
2017-09-07 05:00:00,17.41666667
2017-09-07 06:00:00,17.73333333
2017-09-07 07:00:00,18.775
2017-09-07 08:00:00,20.61666667
2017-09-07 09:00:00,21.38333333
2017-09-07 10:00:00,21.90833333
2017-09-07 11:00:00,22.48333333
2017-09-07 12:00:00,22.51666667
2017-09-07 13:00:00,23.075
2017-09-07 14:00:00,22.99166667
2017-09-07 15:00:00,22.58333333
2017-09-07 16:00:00,21.69166667
2017-09-07 17:00:00,20.475
2017-09-07 18:00:00,19.525
2017-09-07 19:00:00,18.8
2017-09-07 20:00:00,18.18333333
2017-09-07 21:00:00,17.825
2017-09-07 22:00:00,16.53333333
2017-09-07 23:00:00,16.075
2017-09-08 00:00:00,16.1
2017-09-08 01:00:00,16.2
2017-09-08 02:00:00,15.925
2017-09-08 03:00:00,15.675
2017-09-08 04:00:00,15.85
2017-09-08 05:00:00,15.78333333
2017-09-08 06:00:00,15.49166667
2017-09-08 07:00:00,16.18333333
2017-09-08 08:00:00,17.29166667
2017-09-08 09:00:00,18.59166667
2017-09-08 10:00:00,21.15
2017-09-08 11:00:00,22.05833333
2017-09-08 12:00:00,22.44166667
2017-09-08 13:00:00,23.11666667
2017-09-08 14:00:00,23.86666667
2017-09-08 15:00:00,24.04166667
2017-09-08 16:00:00,24.525
2017-09-08 17:00:00,24.08333333
2017-09-08 18:00:00,22.91666667
2017-09-08 19:00:00,19.95833333
2017-09-08 20:00:00,17.93333333
2017-09-08 21:00:00,16.85
2017-09-08 22:00:00,15.95833333
2017-09-08 23:00:00,15.39166667
2017-09-09 00:00:00,15.14166667
